#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.032290e-01  3.604467e-01  5.721778e-02  2.733060e-01
 1.195324e+00  1.461523e+00  2.661987e-01  2.707596e-01
 2.573253e+00  3.213103e+00  6.398502e-01  2.001735e-01
 4.131879e+00  5.228174e+00  1.096295e+00  1.507322e-01
 5.375417e+00  6.897354e+00  1.521938e+00  0.000000e+00
 5.816482e+00  7.496012e+00  1.679530e+00  0.000000e+00
 5.256722e+00  6.652149e+00  1.395427e+00  0.000000e+00
 3.967616e+00  4.826345e+00  8.587293e-01  1.544429e-01
 2.465202e+00  2.699342e+00  2.341400e-01  2.052018e-01
 1.227547e+00  8.781432e-01 -3.494043e-01  2.698784e-01
 4.738106e-01 -2.477259e-01 -7.215366e-01  2.733060e-01
 2.535193e-01 -6.344178e-01 -8.879371e-01  2.733060e-01
 4.738672e-01 -2.444094e-01 -7.182767e-01  2.733060e-01
 1.227396e+00  8.881725e-01 -3.392235e-01  2.698828e-01
 2.464993e+00  2.701804e+00  2.368112e-01  2.052118e-01
 3.967621e+00  4.826681e+00  8.590601e-01  1.544428e-01
 5.256687e+00  6.654736e+00  1.398049e+00  0.000000e+00
 5.816441e+00  7.494698e+00  1.678257e+00  0.000000e+00
 5.368635e+00  6.923667e+00  1.555032e+00  0.000000e+00
 4.084753e+00  5.290562e+00  1.205809e+00  1.517713e-01
 2.512707e+00  3.238443e+00  7.257356e-01  2.029583e-01
 1.147170e+00  1.488497e+00  3.413271e-01  2.718458e-01
 2.809891e-01  3.757374e-01  9.474830e-02  2.733060e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.733060e-01
