#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.529072e+01  2.448508e+01 -1.080564e+01  0.000000e+00
 2.468726e+01  1.878171e+01 -5.905543e+00  0.000000e+00
 1.558482e+01  1.316307e+01 -2.421748e+00  0.000000e+00
 8.618492e+00  8.157780e+00 -4.607115e-01  0.000000e+00
 3.800857e+00  3.881110e+00  8.025281e-02  3.021340e-01
 9.325188e-01  7.871667e-01 -1.453521e-01  5.210407e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.210407e-01
 9.455332e-01  1.369241e+00  4.237078e-01  5.210407e-01
 3.700822e+00  4.593658e+00  8.928367e-01  3.070258e-01
 8.380004e+00  8.687052e+00  3.070486e-01  0.000000e+00
 1.526326e+01  1.390966e+01 -1.353607e+00  0.000000e+00
 2.435299e+01  1.980969e+01 -4.543306e+00  0.000000e+00
 3.531038e+01  2.661783e+01 -8.692549e+00  0.000000e+00
