#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.404769e+01  1.457970e+01  5.320094e-01  0.000000e+00
 1.252871e+01  1.571118e+01  3.182471e+00  0.000000e+00
 1.163855e+01  1.792752e+01  6.288969e+00  0.000000e+00
 1.123455e+01  2.059941e+01  9.364855e+00  0.000000e+00
 1.097566e+01  2.272429e+01  1.174864e+01  0.000000e+00
 1.042657e+01  2.167901e+01  1.125244e+01  0.000000e+00
 9.339046e+00  1.765842e+01  8.319371e+00  0.000000e+00
 7.646594e+00  1.265993e+01  5.013341e+00  0.000000e+00
 5.231292e+00  7.576652e+00  2.345361e+00  0.000000e+00
 2.498022e+00  3.404336e+00  9.063136e-01  3.728791e-01
 5.916799e-01  7.403264e-01  1.486464e-01  5.004269e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.004269e-01
 8.548398e-01  1.259925e+00  4.050853e-01  5.004269e-01
 3.052616e+00  4.459285e+00  1.406669e+00  3.311798e-01
 6.122980e+00  1.025763e+01  4.134648e+00  0.000000e+00
 9.057319e+00  1.566563e+01  6.608314e+00  0.000000e+00
 1.151797e+01  2.123476e+01  9.716794e+00  0.000000e+00
 1.314571e+01  2.592773e+01  1.278202e+01  0.000000e+00
 1.388130e+01  2.692106e+01  1.303977e+01  0.000000e+00
 1.397371e+01  2.392874e+01  9.955037e+00  0.000000e+00
 1.399960e+01  2.045560e+01  6.456001e+00  0.000000e+00
 1.447746e+01  1.739000e+01  2.912542e+00  0.000000e+00
 1.575065e+01  1.591114e+01  1.604848e-01  0.000000e+00
 1.613541e+01  1.518021e+01 -9.551978e-01  0.000000e+00
