#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.453229e+00  2.611173e+00 -8.420557e-01  1.538237e-01
 1.540219e+00  5.919477e-01 -9.482711e-01  2.348442e-01
 4.479357e-01 -2.439431e-01 -6.918787e-01  2.503697e-01
 5.265307e-03  2.400206e-03 -2.865100e-03  2.503697e-01
 2.766295e-01  8.748714e-01  5.982419e-01  2.503697e-01
 1.170508e+00  1.815187e+00  6.446786e-01  2.485823e-01
 1.896058e+00  2.734558e+00  8.384991e-01  2.160666e-01
 2.290401e+00  3.833831e+00  1.543429e+00  1.959530e-01
 2.424806e+00  2.145814e+00 -2.789920e-01  1.897661e-01
 2.810511e+00  3.027564e+00  2.170533e-01  1.740896e-01
 3.978873e+00  4.979783e+00  1.000910e+00  1.412414e-01
 6.025001e+00  7.785101e+00  1.760100e+00  0.000000e+00
 3.978968e+00  4.922297e+00  9.433297e-01  1.412394e-01
 2.810944e+00  3.035062e+00  2.241176e-01  1.740737e-01
 2.425242e+00  2.202011e+00 -2.232315e-01  1.897466e-01
 2.293260e+00  3.831908e+00  1.538648e+00  1.958175e-01
 1.889803e+00  2.723206e+00  8.334025e-01  2.164026e-01
 1.169746e+00  1.798942e+00  6.291953e-01  2.485980e-01
 2.768491e-01  8.523873e-01  5.755382e-01  2.503697e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.503697e-01
 4.468359e-01 -2.251823e-01 -6.720183e-01  2.503697e-01
 1.540416e+00  5.924207e-01 -9.479955e-01  2.348345e-01
 3.465973e+00  2.609604e+00 -8.563694e-01  1.534821e-01
 6.315154e+00  5.700421e+00 -6.147334e-01  0.000000e+00
