#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.963971e+01  2.828856e+01 -1.135115e+01  0.000000e+00
 2.846171e+01  2.231772e+01 -6.143998e+00  0.000000e+00
 1.829251e+01  1.484634e+01 -3.446168e+00  0.000000e+00
 1.043678e+01  8.008321e+00 -2.428463e+00  0.000000e+00
 5.063529e+00  2.844658e+00 -2.218872e+00  0.000000e+00
 1.811605e+00 -3.158284e-01 -2.127434e+00  4.283128e-01
 2.400489e-01 -1.236214e+00 -1.476263e+00  4.860749e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.860749e-01
 9.273435e-01  2.586930e+00  1.659586e+00  4.860749e-01
 2.951635e+00  2.774565e+00 -1.770697e-01  3.282405e-01
 6.400098e+00  5.404200e+00 -9.958988e-01  0.000000e+00
 1.182027e+01  1.004525e+01 -1.775016e+00  0.000000e+00
 1.976263e+01  1.654762e+01 -3.215012e+00  0.000000e+00
 3.031491e+01  2.364174e+01 -6.673167e+00  0.000000e+00
 3.969608e+01  2.839572e+01 -1.130036e+01  0.000000e+00
